| ru_number  |ru_parent  |ru_name |ru_abbrv  |ru_type|rut_name|ru_fip|ru_precincts|ru_reg_voters|st_postal|
|  1|  0|South Dakota|SD|S  |State   |00000 | 762|   504327|SD   |
|  1|  0|Montana |MT|S  |State   |00000 | 871|   691604|MT   |
|  1|  0|New Mexico  |NM|S  |State   |00000 |1633|  1113156|NM   |
|  1|  0|New Jersey  |NJ|S  |State   |00000 |6290|  4928499|NJ   |
|  1|  0|New York|NY|S  |State   |00000 |   16314| 13162712|NY   |
|  1|  0|California  |CA|S  |State   |00000 |   23180| 16123787|CA   |
|   5001|  1|Alameda |Alameda   |C  |County  |06001 |1200|   725098|CA   |
|   5002|  1|Alpine  |Alpine|C  |County  |06003 |   5|  783|CA   |
|   5003|  1|Amador  |Amador|C  |County  |06005 |  59|20353|CA   |
|   5004|  1|Butte   |Butte |C  |County  |06007 | 148|   115144|CA   |
|   5005|  1|Calaveras   |Calaveras |C  |County  |06009 |  30|27222|CA   |
|   5006|  1|Colusa  |Colusa|C  |County  |06011 |  18| 7533|CA   |
|   5007|  1|Contra Costa|ContraCost|C  |County  |06013 | 772|   490954|CA   |
|   5008|  1|Del Norte   |DelNorte  |C  |County  |06015 |  18|11854|CA   |
|   5009|  1|El Dorado   |ElDorado  |C  |County  |06017 | 119|   102521|CA   |
|   5010|  1|Fresno  |Fresno|C  |County  |06019 | 581|   353285|CA   |
|   5011|  1|Glenn   |Glenn |C  |County  |06021 |  30|11870|CA   |
|   5012|  1|Humboldt|Humboldt  |C  |County  |06023 | 132|75224|CA   |
|   5013|  1|Imperial|Imperial  |C  |County  |06025 |  98|53565|CA   |
|   5014|  1|Inyo|Inyo  |C  |County  |06027 |  26| 9918|CA   |
|   5015|  1|Kern|Kern  |C  |County  |06029 | 442|   287672|CA   |
|   5016|  1|Kings   |Kings |C  |County  |06031 | 182|44504|CA   |
|   5017|  1|Lake|Lake  |C  |County  |06033 |  52|33143|CA   |
|   5018|  1|Lassen  |Lassen|C  |County  |06035 |  36|13268|CA   |
|   5019|  1|Los Angeles |LosAngeles|C  |County  |06037 |4783|  4062257|CA   |
|   5020|  1|Madera  |Madera|C  |County  |06039 | 109|51114|CA   |
|   5021|  1|Marin   |Marin |C  |County  |06041 | 189|   145616|CA   |
|   5022|  1|Mariposa|Mariposa  |C  |County  |06043 |  21|11196|CA   |
|   5023|  1|Mendocino   |Mendocino |C  |County  |06045 | 235|47804|CA   |
|   5024|  1|Merced  |Merced|C  |County  |06047 | 118|91729|CA   |
|   5025|  1|Modoc   |Modoc |C  |County  |06049 |  20| 5259|CA   |
|   5026|  1|Mono|Mono  |C  |County  |06051 |  13| 6706|CA   |
|   5027|  1|Monterey|Monterey  |C  |County  |06053 | 184|   147714|CA   |
|   5028|  1|Napa|Napa  |C  |County  |06055 | 146|66665|CA   |
|   5029|  1|Nevada  |Nevada|C  |County  |06057 |  64|60056|CA   |
|   5030|  1|Orange  |Orange|C  |County  |06059 |2078|  1566951|CA   |
|   5031|  1|Placer  |Placer|C  |County  |06061 | 340|   185204|CA   |
|   5032|  1|Plumas  |Plumas|C  |County  |06063 |  29|13056|CA   |
|   5033|  1|Riverside   |Riverside |C  |County  |06065 |1197|   763923|CA   |
|   5034|  1|Sacramento  |Sacramento|C  |County  |06067 |1215|   625485|CA   |
|   5035|  1|San Benito  |SanBenito |C  |County  |06069 |  56|23903|CA   |
|   5036|  1|San Bernardino  |SanBernard|C  |County  |06071 | 997|   754978|CA   |
|   5037|  1|San Diego   |SanDiego  |C  |County  |06073 |1893|  1369496|CA   |
|   5038|  1|San Francisco   |SanFrancis|C  |County  |06075 | 580|   430259|CA   |
|   5039|  1|San Joaquin |SanJoaquin|C  |County  |06077 | 441|   253148|CA   |
|   5040|  1|San Luis Obispo |SanLuisObi|C  |County  |06079 | 146|   148616|CA   |
|   5041|  1|San Mateo   |SanMateo  |C  |County  |06081 | 553|   360018|CA   |
|   5042|  1|Santa Barbara   |SantaBarba|C  |County  |06083 | 316|   188277|CA   |
|   5043|  1|Santa Clara |SantaClara|C  |County  |06085 |1113|   715492|CA   |
|   5044|  1|Santa Cruz  |SantaCruz |C  |County  |06087 | 189|   139834|CA   |
|   5045|  1|Shasta  |Shasta|C  |County  |06089 | 140|90700|CA   |
|   5046|  1|Sierra  |Sierra|C  |County  |06091 |  23| 2253|CA   |
|   5047|  1|Siskiyou|Siskiyou  |C  |County  |06093 |  60|25064|CA   |
|   5048|  1|Solano  |Solano|C  |County  |06095 | 188|   174979|CA   |
|   5049|  1|Sonoma  |Sonoma|C  |County  |06097 | 436|   234851|CA   |
|   5050|  1|Stanislaus  |Stanislaus|C  |County  |06099 | 429|   217946|CA   |
|   5051|  1|Sutter  |Sutter|C  |County  |06101 |  63|38525|CA   |
|   5052|  1|Tehama  |Tehama|C  |County  |06103 |  47|29473|CA   |
|   5053|  1|Trinity |Trinity   |C  |County  |06105 |  24| 8094|CA   |
|   5054|  1|Tulare  |Tulare|C  |County  |06107 | 175|   138688|CA   |
|   5055|  1|Tuolumne|Tuolumne  |C  |County  |06109 |  69|31834|CA   |
