| polra_number|pol_first_name  |pol_middle_name |pol_last_name   |pol_abbrv   |pol_junior|polra_party|ra_number  |pol_nat_id |polra_in_order|pol_number |st_postal|
| 302|Ron ||Paul|Paul|  |LTP|  0|302|19|302|US   |
|3407|Spencer ||Bachus  |Bachus  |  |GOP|   1377|526| 1|   1020|AL   |
|3409|Vivian  ||Figures |Figures |  |Dem|   1755|   3346| 1|   1079|AL   |
|3401|Robert  ||Aderholt|Aderholt|  |GOP|   1011|523| 2|   1200|AL   |
|3400|Mike||Rogers  |Rogers  |  |GOP|   1375|   1161| 2|   1222|AL   |
|1243|Brian   ||Moore   |Moore   |  |SPU|  0|   1243|18|   1243|US   |
|3413|Jeff||Sessions|Sessions|  |GOP|   1755|   1167| 2|   1530|AL   |
|1701|John||McCain  |McCain  |  |GOP|  0|   1701| 2|   1701|US   |
|1918|Barack  ||Obama   |Obama   |  |Dem|  0|   1918| 1|   1918|US   |
|5599|Don ||Young   |Young   |  |GOP|   2015|513| 2|   2007|AK   |
|3405|Artur   ||Davis   |Davis   |  |Dem|   1378|   1172| 1|   2193|AL   |
|3398|Jo  ||Bonner  |Bonner  |  |GOP|   1005|   1004| 1|   2234|AL   |
|3419|Jay ||Love|Love|  |GOP|   1374|  52878| 2|   2415|AL   |
|3415|Bobby   ||Bright  |Bright  |  |Dem|   1374|  59445| 1|   2751|AL   |
|3424|Joshua  ||Segall  |Segall  |  |Dem|   1375|  59446| 1|   2754|AL   |
|3425|Nicholas||Sparks  |Sparks  |  |Dem|   1011|  59447| 1|   2755|AL   |
|3428|Parker  ||Griffith|Griffith|  |Dem|   1376|  59448| 1|   2757|AL   |
|3435|Wayne   ||Parker  |Parker  |  |GOP|   1376|   3883| 2|   2777|AL   |
|3473|Barack  ||Obama   |Obama   |  |Dem|  0|   1918| 1|   2798|AL   |
|3474|John||McCain  |McCain  |  |GOP|  0|   1701| 2|   2799|AL   |
|3700|Chuck   ||Baldwin |Baldwin |  |Ind|  0|  59208| 3|   2835|AL   |
|3701|Bob ||Barr|Barr|  |Ind|  0|  11527| 4|   2836|AL   |
|3702|Ralph   ||Nader   |Nader   |  |Ind|  0|   3850| 5|   2837|AL   |
|5668|Ethan   ||Berkowitz   |Berkwtz |  |Dem|   2015|  52025| 3|   3309|AK   |
|3486|James   ||Harris  |Harris  |  |SWP|  0|   3486|11|   3486|US   |
|5661|Ted ||Stevens |Stevens |  |GOP|   2933|511| 4|   3627|AK   |
|3635|Alan||Keyes   |Keyes   |  |AIP|  0|   3635|13|   3635|US   |
|8075|John||McCain  |McCain  |  |GOP|  0|   1701| 2|   3728|AZ   |
|7796|Ed  ||Pastor  |Pastor  |  |Dem|   3010|   1124| 1|   3736|AZ   |
|3850|Ralph   ||Nader   |Nader   |  |Ind|  0|   3850| 3|   3850|US   |
|5795|Ralph   ||Nader   |Nader   |  |Ind|  0|   3850| 4|   3858|AK   |
|5784|Ted ||Gianoutsos  |Gianotss|  |Una|   2933|  51351| 2|   3862|AK   |
|5794|Don ||Wright  |Wright  |  |AKI|   2015|   1174| 1|   3887|AK   |
|5790|John||McCain  |McCain  |  |GOP|  0|   1701| 3|   3976|AK   |
|5789|Barack  ||Obama   |Obama   |  |Dem|  0|   1918| 5|   3987|AK   |
|5652|Mark||Begich  |Begich  |  |Dem|   2933|  59501| 5|   3992|AK   |
|5811|Bob ||Bird|Bird|  |AKI|   2933|  59901| 1|   3993|AK   |
|5812|Fredrick||Haase   |Haase   |  |Lib|   2933|  59900| 3|   3996|AK   |
|8084|||Yes |Yes |  |Yes|   4123|  2| 1|   4005|AZ   |
