| ru_number  |ra_number  |rura_tot_pcts|rura_voters|st_postal|
|  1|  28213|  871| 691604|MT   |
|  27001|  28213|   16|   6595|MT   |
|  27002|  28213|   20|   7788|MT   |
|  27003|  28213|   10|   4199|MT   |
|  27004|  28213|5|   3719|MT   |
|  27005|  28213|   16|   7549|MT   |
|  27006|  28213|4|953|MT   |
|  27007|  28213|   38|  57082|MT   |
|  27008|  28213|   12|   4087|MT   |
|  27009|  28213|   14|   6986|MT   |
|  27010|  28213|5|   1544|MT   |
|  27011|  28213|   12|   6828|MT   |
|  27012|  28213|   18|   6786|MT   |
|  27013|  28213|6|   1960|MT   |
|  27014|  28213|   16|   8338|MT   |
|  27015|  28213|   42|  60688|MT   |
|  27016|  28213|   46|  66425|MT   |
|  27017|  28213|7|902|MT   |
|  27018|  28213|   16|   8716|MT   |
|  27019|  28213|2|629|MT   |
|  27020|  28213|4|   2547|MT   |
|  27021|  28213|   22|  10084|MT   |
|  27022|  28213|   14|   8328|MT   |
|  27023|  28213|4|   1642|MT   |
|  27024|  28213|   22|  18301|MT   |
|  27025|  28213|   56|  40511|MT   |
|  27026|  28213|4|   1392|MT   |
|  27027|  28213|   14|  14285|MT   |
|  27028|  28213|3|   1394|MT   |
|  27029|  28213|8|   6184|MT   |
|  27030|  28213|1|   1461|MT   |
|  27031|  28213|6|   2666|MT   |
|  27032|  28213|  101|  80860|MT   |
|  27033|  28213|6|   3221|MT   |
|  27034|  28213|   15|  12287|MT   |
|  27035|  28213|1|355|MT   |
|  27036|  28213|   13|   2899|MT   |
|  27037|  28213|8|   4055|MT   |
|  27038|  28213|8|   1478|MT   |
|  27039|  28213|   12|   3939|MT   |
|  27040|  28213|4|944|MT   |
|  27041|  28213|   22|  30648|MT   |
|  27042|  28213|   15|   6752|MT   |
|  27043|  28213|   13|   6685|MT   |
|  27044|  28213|   12|   5855|MT   |
|  27045|  28213|   10|   8009|MT   |
|  27046|  28213|6|   2779|MT   |
|  27047|  28213|   45|  21688|MT   |
|  27048|  28213|8|   6427|MT   |
|  27049|  28213|5|   2562|MT   |
|  27050|  28213|5|   4492|MT   |
|  27051|  28213|   10|   3003|MT   |
|  27052|  28213|3|642|MT   |
|  27053|  28213|   11|   5341|MT   |
|  27054|  28213|5|   1412|MT   |
|  27055|  28213|1|768|MT   |
|  27056|  28213|   69| 103934|MT   |
|  1|  28219|  871| 691604|MT   |
|  27001|  28219|   16|   6595|MT   |
|  27002|  28219|   20|   7788|MT   |
|  27003|  28219|   10|   4199|MT   |
|  27004|  28219|5|   3719|MT   |
|  27005|  28219|   16|   7549|MT   |
|  27006|  28219|4|953|MT   |
|  27007|  28219|   38|  57082|MT   |
|  27008|  28219|   12|   4087|MT   |
|  27009|  28219|   14|   6986|MT   |
|  27010|  28219|5|   1544|MT   |
|  27011|  28219|   12|   6828|MT   |
|  27012|  28219|   18|   6786|MT   |
|  27013|  28219|6|   1960|MT   |
|  27014|  28219|   16|   8338|MT   |
|  27015|  28219|   42|  60688|MT   |
|  27016|  28219|   46|  66425|MT   |
|  27017|  28219|7|902|MT   |
|  27018|  28219|   16|   8716|MT   |
|  27019|  28219|2|629|MT   |
|  27020|  28219|4|   2547|MT   |
|  27021|  28219|   22|  10084|MT   |
|  27022|  28219|   14|   8328|MT   |
|  27023|  28219|4|   1642|MT   |
|  27024|  28219|   22|  18301|MT   |
|  27025|  28219|   56|  40511|MT   |
|  27026|  28219|4|   1392|MT   |
|  27027|  28219|   14|  14285|MT   |
|  27028|  28219|3|   1394|MT   |
|  27029|  28219|8|   6184|MT   |
|  27030|  28219|1|   1461|MT   |
|  27031|  28219|6|   2666|MT   |
|  27032|  28219|  101|  80860|MT   |
|  27033|  28219|6|   3221|MT   |
|  27034|  28219|   15|  12287|MT   |
|  27035|  28219|1|355|MT   |
|  27036|  28219|   13|   2899|MT   |
