| polra_number|pol_first_name  |pol_middle_name |pol_last_name   |pol_abbrv   |pol_junior|polra_party|ra_number  |pol_nat_id |polra_in_order|pol_number |st_postal|
|   17307|Ed  ||Royce   |Royce   |  |GOP|   5730|   1215| 2|   5208|CA   |
|8656|Joe ||Cobb|Cobb|  |Lib|   3010|  57149| 3|   5209|AZ   |
|8653|Michael ||Shoen   |Shoen   |  |Lib|   3008|  59897| 4|   5246|AZ   |
|8315|Rebecca ||Schneider   |Schneidr|  |Dem|   3544|  59537| 1|   5249|AZ   |
|   17223|Barbara ||Lee |Lee |  |Dem|   5699| 28| 1|   5250|CA   |
|   17230|Sam ||Farr|Farr|  |Dem|   5707| 52| 1|   5286|CA   |
|   17232|Jim ||Costa   |Costa   |  |Dem|   5710|   6818| 1|   5290|CA   |
|   17424|Tom ||McClintock  |McClntc |  |GOP|   5694|  52499| 2|   5301|CA   |
|8659|Richard ||Grayson |Grayson |  |Grn|   3544|  57784| 3|   5318|AZ   |
|8655|Rebecca ||DeWitt  |DeWitt  |  |Grn|   3010|  59893| 4|   5347|AZ   |
|   17241|Lucille ||Roybal-Allard   |Rybl-Al |  |Dem|   5724|102| 1|   5359|CA   |
|8566|Rodney  ||Glassman|Glass   |  |Dem|   3002|  61000| 1|   5362|AZ   |
|8649|Jerry   ||Joslyn  |Joslyn  |  |Grn|   3002|  61001| 3|   5364|AZ   |
|   17238|Xavier  ||Becerra |Becerra |  |Dem|   5721| 94| 1|   5365|CA   |
|8282|Paul||Gosar   |Gosar   |  |GOP|   3004|  61002| 2|   5371|AZ   |
|8440|Ben ||Quayle  |Quayle  |  |GOP|   3008|  61004| 2|   5383|AZ   |
|8444|Janet   ||Contreras   |Contrers|  |GOP|   3010|  61005| 2|   5385|AZ   |
|8657|Nick||Coons   |Coons   |  |Lib|   3012|  61006| 3|   5387|AZ   |
|8661|George  ||Keane   |Keane   |  |Lib|   3920|  61195| 3|   5394|AZ   |
|8320|Ruth||McClung |McClung |  |GOP|   3920|  61007| 2|   5396|AZ   |
|8662|Steven  ||Stoltz  |Stoltz  |  |Lib|   3924|  61008| 3|   5399|AZ   |
|8326|Jesse   ||Kelly   |Kelly   |  |GOP|   3924|  61136| 2|   5401|AZ   |
|8664|Larry   ||Gist|Gist|  |Grn|   3014|  61009| 3|   5403|AZ   |
|8663|Barry   ||Hess|Hess|  |Lib|   3014|   1137| 4|   5404|AZ   |
|8295|Jon ||Hulburd |Hulburd |  |Dem|   3008|  61003| 1|   5450|AZ   |
|   18148|||Yes |Yes |  |Yes|   8521|  2| 1|   5540|CA   |
|   18150|||Yes |Yes |  |Yes|   8523|  2| 1|   5540|CA   |
|   18149|||No  |No  |  |No |   8521|  3| 2|   5541|CA   |
|   18151|||No  |No  |  |No |   8523|  3| 2|   5541|CA   |
|8573|Harley  ||Meyer   |Meyer   |  |Ind|   3920|  61153| 4|   5567|AZ   |
|8651|Nicole  ||Patti   |Patti   |  |Lib|   3004|  61192| 3|   5569|AZ   |
|8660|Darell  ||Tapp|Tapp|  |Lib|   3544|  61194| 4|   5571|AZ   |
|   10773|Mike||Ross|MRoss   |  |Dem|   5107|   1194| 1|   6008|AR   |
|   17243|Jane||Harman  |Harman  |  |Dem|   5726|107| 1|   6052|CA   |
|   17220|Lynn||Woolsey |Woolsey |  |Dem|   5696| 17| 1|   6101|CA   |
|   17227|Anna||Eshoo   |Eshoo   |  |Dem|   5704| 43| 1|   6204|CA   |
|   11401|||Yes |Yes |  |Yes|   7513|  2| 1|   6212|CO   |
|   11512|||Yes |Yes |  |Yes|   7531|  2| 1|   6212|CO   |
|   17310|Ken ||Calvert |Calvert |  |GOP|   5734|132| 2|   6357|CA   |
|   11200|Diana   ||DeGette |DeGette |  |Dem|   7191|734| 2|   6364|CO   |
|   11151|Mike||Coffman |Coffman |  |GOP|   6618|   8993| 2|   6404|CO   |
|   17305|Buck||McKeon  |McKeon  |  |GOP|   5715| 79| 2|   6420|CA   |
|   11150|Doug||Lamborn |Lamborn |  |GOP|   6617|   9174| 1|   6532|CO   |
|   11481|||Yes |Yes |  |Yes|   6418|  2| 1|   6546|AR   |
|   11480|||No  |No  |  |No |   6418|  3| 2|   6547|AR   |
|   17295|Bob ||Filner  |Filner  |  |Dem|   5743|151| 1|   6553|CA   |
|   11514|Jim ||Lendall |Lendall |  |Grn|   5626|  52723| 3|   6666|AR   |
|   10936|Joyce   ||Elliott |Elliott |  |Dem|   5105|  52721| 1|   6674|AR   |
|   17245|Grace   ||Napolitano  |Napolitn|  |Dem|   5728|113| 1|   6678|CA   |
|   17247|Joe ||Baca|Baca|  |Dem|   5733|128| 1|   6699|CA   |
|   10957|Mike||Beebe   |Beebe   |  |Dem|   5626|   5647| 1|   6808|AR   |
|   11394|Tom ||Tancredo|Tancred |  |AmC|   6619|751| 6|   6980|CO   |
|   17236|Adam||Schiff  |Schiff  |  |Dem|   5719| 89| 1|   7009|CA   |
|   17229|Zoe ||Lofgren |Lofgren |  |Dem|   5706| 49| 1|   7141|CA   |
|   17233|Lois||Capps   |Capps   |  |Dem|   5713| 72| 1|   7156|CA   |
|   17296|Susan   ||Davis   |Davis   |  |Dem|   5744|157| 1|   7332|CA   |
|   10911|John||Boozman |Boozman |  |GOP|   5103|   1620| 2|   7448|AR   |
|   10908|Blanche ||Lincoln |Lincoln |  |Dem|   5103|   7086| 1|   7494|AR   |
|   17294|Loretta ||Sanchez |Sanchez |  |Dem|   5739|140| 1|   7512|CA   |
|   17228|Mike||Honda   |Honda   |  |Dem|   5705|   1206| 1|   7608|CA   |
|   17231|Dennis  ||Cardoza |Cardoza |  |Dem|   5708| 56| 1|   7614|CA   |
|   17309|Gary||Miller  |Miller  |  |GOP|   5732|126| 2|   7693|CA   |
|   10921|Chad||Causey  |Causey  |  |Dem|   5104|  60223| 1|   7755|AR   |
|   10929|Rick||Crawford|Crawfrd |  |GOP|   5104|  60226| 2|   7758|AR   |
|   10940|Tim ||Griffin |Griffin |  |GOP|   5105|  60231| 2|   7763|AR   |
|   10945|David   ||Whitaker|Whitaker|  |Dem|   6092|  60233| 1|   7765|AR   |
|   10953|Steve   ||Womack  |Womack  |  |GOP|   6092|  60238| 2|   7770|AR   |
|   10956|Beth Anne   ||Rankin  |Rankin  |  |GOP|   5107|  60240| 2|   7772|AR   |
|   10958|Jim ||Keet|Keet|  |GOP|   5626|  60197| 2|   7773|AR   |
|   11402|||No  |No  |  |No |   7513|  3| 2|   7922|CO   |
|   11513|||No  |No  |  |No |   7531|  3| 2|   7922|CO   |
|   11111|John||Salazar |Salazar |  |Dem|   6615|   9344| 1|   7925|CO   |
|   11199|Ed  ||Perlmutter  |Perlmttr|  |Dem|   6954|   9291| 1|   7928|CO   |
|   11383|Trevor  ||Drown   |Drown   |  |Ind|   5103|  60551| 4|   7945|AR   |
|   11385|Lance   ||Levi|Levi|  |Ind|   5105|  60553| 4|   7947|AR   |
|   11510|John||Gray|Gray|  |Grn|   5103|  61137| 3|   7995|AR   |
|   11511|Ken ||Adler   |Adler   |  |Grn|   5104|  61138| 3|   7996|AR   |
|   11512|Lewis   ||Kennedy |Kennedy |  |Grn|   5105|  61139| 3|   7997|AR   |
|   11513|Josh||Drake   |Drake   |  |Grn|   5107|  59645| 3|   7998|AR   |
|   11217|Scott   ||Tipton  |Tipton  |  |GOP|   6615|  51753| 2|   8009|CO   |
|   17311|Mary||Bono Mack   |BonoMck |  |GOP|   5735|135| 2|   8018|CA   |
|   17410|Barbara ||Boxer   |Boxer   |  |Dem|   8516|   1705| 1|   8041|CA   |
|   17347|Darrell ||Issa|Issa|  |GOP|   5741|146| 2|   8046|CA   |
|   11219|Cory||Gardner |Gardner |  |GOP|   6616|  60588| 2|   8081|CO   |
|   17302|Devin   ||Nunes   |Nunes   |  |GOP|   5711| 67| 1|   8089|CA   |
|   11400|Paul||Fiorino |Fiorino |  |Una|   6619|  53523| 3|   8172|CO   |
|   11110|Jared   ||Polis   |Polis   |  |Dem|   6614|   9302| 2|   8222|CO   |
|   11112|Betsy   ||Markey  |Markey  |  |Dem|   6616|  59348| 1|   8226|CO   |
|   17576|Judy||Chu |Chu |  |Dem|   5722|  52450| 1|   8322|CA   |
|   11207|Ken ||Buck|Buck|  |GOP|   7190|  61077| 1|   8377|CO   |
|9936|John||Carney  |Carney  |  |Dem|   8074|  10206| 1|   8390|DE   |
|   11373|Bob ||Kinsey  |Kinsey  |  |Grn|   7190|  59783| 3|   8395|CO   |
|   11391|Brian   ||Scott   |Scott   |  |AmC|   6617|  59791| 4|   8398|CO   |
|   11206|Michael ||Bennet  |Bennet  |  |Dem|   7190|  59911| 2|   8435|CO   |
|   11209|Maclyn  ||Stringer|Stringer|  |Lib|   7190|  61078| 4|   8437|CO   |
|   11211|Mike||Fallon  |Fallon  |  |GOP|   7191|  60582| 1|   8439|CO   |
|   11214|Clint   ||Jones   |Jones   |  |Lib|   7191|  61079| 5|   8442|CO   |
|   11215|Stephen ||Bailey  |Bailey  |  |GOP|   6614|  60691| 1|   8443|CO   |
|   11220|Kevin   ||Bradley |Bradley |  |Dem|   6617|  60594| 2|   8446|CO   |
|   11221|John||Flerlage|Flerlage|  |Dem|   6618|  60596| 1|   8447|CO   |
|   11222|Ryan||Frazier |Frazier |  |GOP|   6954|  60599| 2|   8448|CO   |
|   11224|John||Hickenlooper|Hicknlpr|  |Dem|   6619|  60601| 4|   8450|CO   |
|   11226|Dan ||Maes|Maes|  |GOP|   6619|  61076| 5|   8451|CO   |
|   11228|Jaimes  ||Brown   |Brown   |  |Lib|   6619|  60604| 1|   8453|CO   |
|   11375|Charley ||Miller  |Miller  |  |Una|   7190|  60578| 5|   8574|CO   |
|   11376|Jason   ||Napolitano  |Napolitn|  |INR|   7190|  60998| 7|   8575|CO   |
|   11378|Chris   ||Styskal |Styskal |  |AmC|   7191|  60583| 4|   8576|CO   |
|   11379|Gary||Swing   |Swing   |  |Grn|   7191|744| 3|   8577|CO   |
|   11380|Jenna   ||Goss|Goss|  |AmC|   6614|  60584| 4|   8578|CO   |
|   11381|Curtis  ||Harris  |Harris  |  |Lib|   6614|  60585| 3|   8579|CO   |
|9932|Christopher ||Coons   |Coons   |  |Dem|   8281|  60997| 1|   8581|DE   |
|   11384|Gregory ||Gilman  |Gilman  |  |Lib|   6615|  60586| 3|   8581|CO   |
|   11386|Jake||Segrest |Segrest |  |Una|   6615|  60999| 4|   8583|CO   |
|   11387|Doug||Aden|Aden|  |AmC|   6616|  60589| 3|   8584|CO   |
|   11388|Ken ||Waszkiewicz |Wszkwcz |  |Una|   6616|  60593| 4|   8585|CO   |
|   11390|Jerell  ||Klaver  |Klaver  |  |Lib|   6617|  60595| 3|   8586|CO   |
|   11392|Rob ||McNealy |McNealy |  |Lib|   6618|  60598| 3|   8587|CO   |
|   11393|Buck||Bailey  |Bailey  |  |Lib|   6954|  60600| 3|   8588|CO   |
|   11395|Jason   ||Clark   |Clark   |  |Una|   6619|  60607| 2|   8589|CO   |
|   11398|J.  ||Moromisato  |Moromst |  |Una|   7190|  60579| 6|   8590|CO   |
|9900|Christine   ||O'Donnell   |ODonnell|  |GOP|   8281|  57577| 2|   8614|DE   |
|9937|Jeffrey ||Brown   |Brown   |  |BEP|   8074|  59889| 5|   8735|DE   |
|9902|Glen||Urquhart|Urquhart|  |GOP|   8074|  61140| 2|   8749|DE   |
|9933|Glenn   ||Miller  |Miller  |  |IPD|   8281|  61246| 3|   8774|DE   |
|9934|James   ||Rash|Rash|  |Lib|   8281|  61247| 4|   8775|DE   |
|9938|Earl||Lofland |Lofland |  |IPD|   8074|  61244| 3|   8777|DE   |
|9939|Brent   ||Wangen  |Wangen  |  |Lib|   8074|  61245| 4|   8778|DE   |
