| ru_number  |ra_number  |rura_tot_pcts|rura_voters|st_postal|
|   1062|   1378|   15|   8561|AL   |
|   1065|   1378|   30|  67426|AL   |
|   1068|   1378|   29|   7788|AL   |
|  1|   1683| 2811|2515336|AL   |
|   1001|   1683|   25|  29048|AL   |
|   1002|   1683|   70|  97556|AL   |
|   1003|   1683|   21|  14061|AL   |
|   1004|   1683|   10|  10356|AL   |
|   1005|   1683|   27|  28075|AL   |
|   1006|   1683|   18|   6494|AL   |
|   1007|   1683|   28|  11258|AL   |
|   1008|   1683|   54|  57534|AL   |
|   1009|   1683|   25|  18975|AL   |
|   1010|   1683|   26|  12061|AL   |
|   1011|   1683|   18|  22026|AL   |
|   1012|   1683|   35|   9305|AL   |
|   1013|   1683|   30|  15713|AL   |
|   1014|   1683|   24|   8435|AL   |
|   1015|   1683|   17|   7843|AL   |
|   1016|   1683|   33|  24536|AL   |
|   1017|   1683|   37|  29934|AL   |
|   1018|   1683|   28|   8537|AL   |
|   1019|   1683|   14|   6840|AL   |
|   1020|   1683|   29|  18612|AL   |
|   1021|   1683|   20|   7730|AL   |
|   1022|   1683|   52|  42271|AL   |
|   1023|   1683|   23|  24324|AL   |
|   1024|   1683|   32|  26051|AL   |
|   1025|   1683|   51|  30107|AL   |
|   1026|   1683|   33|  39067|AL   |
|   1027|   1683|   34|  17877|AL   |
|   1028|   1683|   58|  53554|AL   |
|   1029|   1683|   29|   9468|AL   |
|   1030|   1683|   25|  16454|AL   |
|   1031|   1683|   28|  13749|AL   |
|   1032|   1683|   16|   6519|AL   |
|   1033|   1683|   17|  10176|AL   |
|   1034|   1683|   16|  10111|AL   |
|   1035|   1683|   38|  51281|AL   |
|   1036|   1683|   43|  27450|AL   |
|   1037|   1683|  377| 365667|AL   |
|   1039|   1683|   27|   8702|AL   |
|   1040|   1683|   39|  44828|AL   |
|   1041|   1683|   31|  18873|AL   |
|   1042|   1683|   35|  70461|AL   |
|   1043|   1683|   34|  39175|AL   |
|   1044|   1683|   15|   8731|AL   |
|   1045|   1683|   19|  14239|AL   |
|   1046|   1683|   94| 181515|AL   |
|   1047|   1683|   27|  13419|AL   |
|   1048|   1683|   21|  15650|AL   |
|   1049|   1683|   47|  40369|AL   |
|   1050|   1683|  202| 221089|AL   |
|   1051|   1683|   34|  13600|AL   |
|   1052|   1683|  121| 124496|AL   |
|   1053|   1683|   59|  58467|AL   |
|   1054|   1683|   18|   7202|AL   |
|   1055|   1683|   27|  11667|AL   |
|   1056|   1683|   29|  16593|AL   |
|   1057|   1683|   26|  12753|AL   |
|   1058|   1683|   17|  24563|AL   |
|   1059|   1683|   37|  44248|AL   |
|   1061|   1683|   76| 105837|AL   |
|   1062|   1683|   15|   8561|AL   |
|   1063|   1683|   34|  41670|AL   |
|   1064|   1683|   32|  22761|AL   |
|   1065|   1683|  101|  94464|AL   |
|   1066|   1683|   46|  36495|AL   |
|   1067|   1683|   36|  11305|AL   |
|   1068|   1683|   29|   7788|AL   |
