t;1680835828114;29797778;;0;475;;1;
t;1682513544594;29772178;;0;128;;1;
t;1680565907858;29949330;;0;98;;1;
t;1678084385170;29832594;;0;181;;2;
t;92844434;29948306;;0;405;;2;
t;94339474;29842834;;0;263;;2;
t;1678284115346;29945234;;0;4;;2;
t;1681035578770;29945234;;0;125;;2;
t;1681775362450;29842834;;0;68;;2;
t;94339474;29841810;;0;323;;1;
t;1681439807890;29797778;;0;345;;1;
t;1679023232402;29739410;;0;156;;1;
t;1680835829138;29801874;;0;346;;1;
t;94324114;29773202;;0;2632;;2;
t;1682647762322;29773202;;0;221;;2;
t;1679694984594;29824402;;0;102;;2;
t;1680970053010;29824402;;0;2;;2;
t;1681641129362;29772178;;0;213;;1;
t;1680565816722;29943186;;0;65;;1;
t;1678821905810;29739410;;0;218;;1;
t;94324114;29772178;;0;2155;;1;
t;1682647762322;29772178;;0;205;;1;
t;1680701614482;29816210;;0;149;;2;
t;1683049764242;29742482;;0;185;;2;
t;1679559274898;29949330;;0;49;;1;
t;1678218602898;29832594;;0;255;;2;
t;1679292343698;29829522;;0;413;;2;
t;1680231701906;29947282;;0;227;;1;
t;1680565816722;29945234;;0;110;;2;
t;94336402;29821330;;0;1963;;1;
t;1680231701906;29946258;;0;273;;2;
t;1679292343698;29827474;;0;314;;1;
t;92753298;29943186;;0;484;;1;
t;1681641141650;29821330;;0;188;;1;
t;94336402;29824402;;0;2398;;2;
t;1679426538898;29781394;;0;482;;1;
t;1681573369234;29739410;;0;518;;1;
t;1678821905810;29742482;;0;170;;2;
t;1680231849362;29802898;;0;446;;2;
t;1680231848338;29797778;;0;286;;1;
t;94327186;29789586;;0;1049;;2;
t;1681708250514;29821330;;0;0;;1;
t;1678956780946;29802898;;0;423;;2;
t;1681573369234;29742482;;0;160;;2;
t;1679023232402;29742482;;0;2;;2;
t;1680970040722;29772178;;0;174;;1;
t;1680231860626;29848978;;0;49;;2;
t;94327186;29788562;;0;860;;1;
t;92753298;29945234;;0;590;;2;
t;1679426538898;29783442;;0;393;;2;
t;1681842466194;29819282;;0;995;;2;
t;1680231849362;29801874;;0;176;;1;
t;1678956779922;29797778;;0;471;;1;
t;94333330;29814162;;0;265;;1;
t;1681506916754;29797778;;0;168;;1;
t;1680970040722;29773202;;0;453;;2;
t;1679963266450;29947282;;0;185;;1;
t;1680164759954;29831570;;0;435;;1;
t;1681775362450;29841810;;0;69;;1;
t;1679425885586;29739410;;0;1260;;1;
t;1679963266450;29946258;;0;86;;2;
t;94333330;29816210;;0;322;;2;
t;1680701614482;29814162;;0;263;;1;
t;1679694984594;29821330;;0;324;;1;
t;94330258;29802898;;0;1744;;2;
t;1679425885586;29742482;;0;2940;;2;
t;1681506916754;29799826;;0;75;;2;
t;1680902957458;29832594;;0;318;;2;
